Name;Version;Club;League;Nationality;Alt Pos.;Skill Moves;Weak Foot;Foot;Att W/R;Def W/R;Age;Height;Weight;Body Type;Added;Price;Position;ID;Overall Rating;Futwiz Link;PAC;AcceleRATE;Acceleration;Sprint Speed;SHO;Positioning;Finishing;Shot Power;Long Shots;Volleys;Penalties;PAS;Vision;Crossing;FK. Acc.;Short Pass;Long Pass;Curve;DRI;Agility;Balance;Reactions;Ball Control;Dribbling;Composure;DEF;Interceptions;Heading Acc.;Def. Awareness;Stand Tackle;Slide Tackle;PHY;Jumping;Stamina;Strength;Aggression;PlayStyles+;PlayStyles;DIV;GK. Diving;REF;GK. Reflexes;HAN;GK. Handling;SPD;KIC;GK. Kicking;POS;GK. Pos
Bastoni;Rare;Inter;Serie A;Italy;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;58000;CB;200011;86;https://www.futwiz.com/en/fc26/player/bastoni/200011;65;Controlled;67;63;48;50;46;52;45;43;46;72;74;68;66;74;70;68;64;66;68;84;66;65;86;86;88;84;89;87;85;80;84;82;82;78;;;0;0;0;0;0;0;0;0;0;0;0
Saliba;Rare;Arsenal;Premier League;France;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;64000;CB;200012;86;https://www.futwiz.com/en/fc26/player/saliba/200012;70;Controlled;72;68;44;46;42;48;41;39;42;58;60;54;52;60;56;54;60;62;64;84;62;61;86;88;90;86;91;89;87;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
De Ligt;Rare;Manchester United;Premier League;Netherlands;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;55000;CB;200013;85;https://www.futwiz.com/en/fc26/player/de-ligt/200013;64;Controlled;66;62;50;52;48;54;47;45;48;62;64;58;56;64;60;58;60;62;64;83;62;61;85;85;87;83;88;86;84;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
Robertson;Rare;Liverpool;Premier League;Scotland;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;42000;LB;200014;85;https://www.futwiz.com/en/fc26/player/robertson/200014;80;Controlled;82;78;60;62;58;64;57;55;58;82;84;78;76;84;80;78;78;80;82;83;80;79;85;76;78;74;79;77;75;74;78;76;76;72;;;0;0;0;0;0;0;0;0;0;0;0
Davies;Rare;Bayern München;Bundesliga;Canada;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;38000;LB;200015;84;https://www.futwiz.com/en/fc26/player/davies/200015;88;Explosive;90;86;56;58;54;60;53;51;54;72;74;68;66;74;70;68;76;78;80;82;78;77;84;72;74;70;75;73;71;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Balde;Rare;Inter;Serie A;Italy;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;32000;LB;200016;83;https://www.futwiz.com/en/fc26/player/balde/200016;86;Explosive;88;84;54;56;52;58;51;49;52;70;72;66;64;72;68;66;80;82;84;81;82;81;83;70;72;68;73;71;69;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Theo Hernández;Rare;AC Milan;Serie A;France;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;52000;LB;200017;86;https://www.futwiz.com/en/fc26/player/theo-hernández/200017;86;Explosive;88;84;62;64;60;66;59;57;60;70;72;66;64;72;68;66;76;78;80;84;78;77;86;72;74;70;75;73;71;78;82;80;80;76;;;0;0;0;0;0;0;0;0;0;0;0
Alexander-Arnold;Rare;Liverpool;Premier League;England;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;68000;RB;200018;87;https://www.futwiz.com/en/fc26/player/alexander-arnold/200018;76;Controlled;78;74;62;64;60;66;59;57;60;90;92;86;84;92;88;86;78;80;82;85;80;79;87;70;72;68;73;71;69;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Hakimi;Rare;Paris Saint-Germain;Ligue 1;Morocco;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;48000;RB;200019;84;https://www.futwiz.com/en/fc26/player/hakimi/200019;82;Explosive;84;80;58;60;56;62;55;53;56;72;74;68;66;74;70;68;76;78;80;82;78;77;84;72;74;70;75;73;71;70;74;72;72;68;;;0;0;0;0;0;0;0;0;0;0;0
Cancelo;Rare;FC Barcelona;LaLiga;Portugal;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;45000;RB;200020;84;https://www.futwiz.com/en/fc26/player/cancelo/200020;78;Controlled;80;76;64;66;62;68;61;59;62;80;82;76;74;82;78;76;82;84;86;82;84;83;84;68;70;66;71;69;67;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Carvajal;Rare;Real Madrid;LaLiga;Spain;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;52000;RB;200021;86;https://www.futwiz.com/en/fc26/player/carvajal/200021;76;Controlled;78;74;56;58;54;60;53;51;54;74;76;70;68;76;72;70;72;74;76;84;74;73;86;80;82;78;83;81;79;76;80;78;78;74;;;0;0;0;0;0;0;0;0;0;0;0
Rodri;Rare;Manchester City;Premier League;Spain;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;180000;CDM;200022;91;https://www.futwiz.com/en/fc26/player/rodri/200022;62;Controlled;64;60;64;66;62;68;61;59;62;82;84;78;76;84;80;78;78;80;82;89;80;79;91;82;84;80;85;83;81;80;84;82;82;78;;;0;0;0;0;0;0;0;0;0;0;0
Casemiro;Rare;Manchester United;Premier League;Brazil;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;42000;CDM;200023;85;https://www.futwiz.com/en/fc26/player/casemiro/200023;58;Controlled;60;56;56;58;54;60;53;51;54;68;70;64;62;70;66;64;64;66;68;83;66;65;85;84;86;82;87;85;83;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
Tchouaméni;Rare;Real Madrid;LaLiga;France;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;68000;CDM;200024;86;https://www.futwiz.com/en/fc26/player/tchouaméni/200024;64;Controlled;66;62;58;60;56;62;55;53;56;72;74;68;66;74;70;68;68;70;72;84;70;69;86;84;86;82;87;85;83;80;84;82;82;78;;;0;0;0;0;0;0;0;0;0;0;0
Xhaka;Rare;Bayer Leverkusen;Bundesliga;Switzerland;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;35000;CDM;200025;84;https://www.futwiz.com/en/fc26/player/xhaka/200025;56;Controlled;58;54;62;64;60;66;59;57;60;78;80;74;72;80;76;74;66;68;70;82;68;67;84;80;82;78;83;81;79;78;82;80;80;76;;;0;0;0;0;0;0;0;0;0;0;0
De Bruyne;Rare;Manchester City;Premier League;Belgium;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;220000;CM;200026;91;https://www.futwiz.com/en/fc26/player/de-bruyne/200026;72;Controlled;74;70;86;88;84;90;83;81;84;92;94;88;86;94;90;88;86;88;90;89;88;87;91;58;60;56;61;59;57;74;78;76;76;72;;;0;0;0;0;0;0;0;0;0;0;0
Modrić;Rare;Real Madrid;LaLiga;Croatia;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;58000;CM;200027;87;https://www.futwiz.com/en/fc26/player/modrić/200027;72;Controlled;74;70;76;78;74;80;73;71;74;88;90;84;82;90;86;84;88;90;92;85;90;89;87;64;66;62;67;65;63;64;68;66;66;62;;;0;0;0;0;0;0;0;0;0;0;0
Valverde;Rare;Real Madrid;LaLiga;Uruguay;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;95000;CM;200028;88;https://www.futwiz.com/en/fc26/player/valverde/200028;84;Explosive;86;82;72;74;70;76;69;67;70;76;78;72;70;78;74;72;78;80;82;86;80;79;88;72;74;70;75;73;71;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
Pedri;Rare;FC Barcelona;LaLiga;Spain;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;82000;CM;200029;87;https://www.futwiz.com/en/fc26/player/pedri/200029;76;Controlled;78;74;68;70;66;72;65;63;66;86;88;82;80;88;84;82;90;92;94;85;92;91;87;64;66;62;67;65;63;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Bellingham;Rare;Real Madrid;LaLiga;England;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;160000;CM;200030;90;https://www.futwiz.com/en/fc26/player/bellingham/200030;78;Controlled;80;76;80;82;78;84;77;75;78;78;80;74;72;80;76;74;82;84;86;88;84;83;90;70;72;68;73;71;69;78;82;80;80;76;;;0;0;0;0;0;0;0;0;0;0;0
Bruno Fernandes;Rare;Manchester United;Premier League;Portugal;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;78000;CM;200031;88;https://www.futwiz.com/en/fc26/player/bruno-fernandes/200031;68;Controlled;70;66;82;84;80;86;79;77;80;88;90;84;82;90;86;84;82;84;86;86;84;83;88;58;60;56;61;59;57;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Bernardo Silva;Rare;Manchester City;Premier League;Portugal;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;72000;CM;200032;87;https://www.futwiz.com/en/fc26/player/bernardo-silva/200032;72;Controlled;74;70;70;72;68;74;67;65;68;84;86;80;78;86;82;80;90;92;94;85;92;91;87;58;60;56;61;59;57;64;68;66;66;62;;;0;0;0;0;0;0;0;0;0;0;0
Ødegaard;Rare;Arsenal;Premier League;Norway;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;68000;CM;200033;87;https://www.futwiz.com/en/fc26/player/ødegaard/200033;70;Controlled;72;68;74;76;72;78;71;69;72;88;90;84;82;90;86;84;88;90;92;85;90;89;87;52;54;50;55;53;51;62;66;64;64;60;;;0;0;0;0;0;0;0;0;0;0;0
Frenkie de Jong;Rare;FC Barcelona;LaLiga;Netherlands;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;62000;CM;200034;86;https://www.futwiz.com/en/fc26/player/frenkie-de-jong/200034;72;Controlled;74;70;62;64;60;66;59;57;60;80;82;76;74;82;78;76;88;90;92;84;90;89;86;66;68;64;69;67;65;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Wirtz;Rare;Bayer Leverkusen;Bundesliga;Germany;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;78000;CAM;200035;86;https://www.futwiz.com/en/fc26/player/wirtz/200035;76;Controlled;78;74;78;80;76;82;75;73;76;82;84;78;76;84;80;78;88;90;92;84;90;89;86;42;44;40;45;43;41;58;62;60;60;56;;;0;0;0;0;0;0;0;0;0;0;0
Foden;Rare;Manchester City;Premier League;England;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;82000;CAM;200036;87;https://www.futwiz.com/en/fc26/player/foden/200036;78;Controlled;80;76;78;80;76;82;75;73;76;82;84;78;76;84;80;78;88;90;92;85;90;89;87;44;46;42;47;45;43;58;62;60;60;56;;;0;0;0;0;0;0;0;0;0;0;0
Musiala;Rare;Bayern München;Bundesliga;Germany;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;85000;CAM;200037;86;https://www.futwiz.com/en/fc26/player/musiala/200037;76;Controlled;78;74;74;76;72;78;71;69;72;78;80;74;72;80;76;74;90;92;94;84;92;91;86;38;40;36;41;39;37;56;60;58;58;54;;;0;0;0;0;0;0;0;0;0;0;0
Leão;Rare;AC Milan;Serie A;Portugal;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;62000;LM;200038;86;https://www.futwiz.com/en/fc26/player/leão/200038;88;Explosive;90;86;72;74;70;76;69;67;70;72;74;68;66;74;70;68;84;86;88;84;86;85;86;38;40;36;41;39;37;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Nico Williams;Rare;Athletic Club;LaLiga;Spain;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;54000;LM;200039;85;https://www.futwiz.com/en/fc26/player/nico-williams/200039;88;Explosive;90;86;68;70;66;72;65;63;66;74;76;70;68;76;72;70;86;88;90;83;88;87;85;42;44;40;45;43;41;66;70;68;68;64;;;0;0;0;0;0;0;0;0;0;0;0
Lookman;Rare;Atalanta;Serie A;Nigeria;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;38000;LM;200040;84;https://www.futwiz.com/en/fc26/player/lookman/200040;84;Explosive;86;82;74;76;72;78;71;69;72;70;72;66;64;72;68;66;84;86;88;82;86;85;84;40;42;38;43;41;39;64;68;66;66;62;;;0;0;0;0;0;0;0;0;0;0;0
Mitoma;Rare;Brighton;Premier League;Japan;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;32000;LM;200041;83;https://www.futwiz.com/en/fc26/player/mitoma/200041;84;Explosive;86;82;66;68;64;70;63;61;64;72;74;68;66;74;70;68;86;88;90;81;88;87;83;38;40;36;41;39;37;60;64;62;62;58;;;0;0;0;0;0;0;0;0;0;0;0
Kvaratskhelia;Rare;Paris Saint-Germain;Ligue 1;Georgia;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;58000;LM;200042;85;https://www.futwiz.com/en/fc26/player/kvaratskhelia/200042;82;Explosive;84;80;72;74;70;76;69;67;70;76;78;72;70;78;74;72;86;88;90;83;88;87;85;40;42;38;43;41;39;64;68;66;66;62;;;0;0;0;0;0;0;0;0;0;0;0
Salah;Rare;Liverpool;Premier League;Egypt;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;95000;RM;200043;87;https://www.futwiz.com/en/fc26/player/salah/200043;82;Explosive;84;80;86;88;84;90;83;81;84;78;80;74;72;80;76;74;84;86;88;85;86;85;87;42;44;40;45;43;41;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Saka;Rare;Arsenal;Premier League;England;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;72000;RM;200044;86;https://www.futwiz.com/en/fc26/player/saka/200044;82;Explosive;84;80;76;78;74;80;73;71;74;80;82;76;74;82;78;76;86;88;90;84;88;87;86;48;50;46;51;49;47;64;68;66;66;62;;;0;0;0;0;0;0;0;0;0;0;0
Coman;Rare;Bayern München;Bundesliga;France;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;38000;RM;200045;84;https://www.futwiz.com/en/fc26/player/coman/200045;84;Explosive;86;82;68;70;66;72;65;63;66;74;76;70;68;76;72;70;86;88;90;82;88;87;84;38;40;36;41;39;37;62;66;64;64;60;;;0;0;0;0;0;0;0;0;0;0;0
Vinícius Jr;Rare;Real Madrid;LaLiga;Brazil;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;200000;LW;200046;90;https://www.futwiz.com/en/fc26/player/vinícius-jr/200046;90;Explosive;92;88;78;80;76;82;75;73;76;76;78;72;70;78;74;72;92;94;96;88;94;93;90;36;38;34;39;37;35;62;66;64;64;60;;;0;0;0;0;0;0;0;0;0;0;0
Son;Rare;Tottenham;Premier League;South Korea;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;62000;LW;200047;86;https://www.futwiz.com/en/fc26/player/son/200047;82;Explosive;84;80;84;86;82;88;81;79;82;76;78;72;70;78;74;72;82;84;86;84;84;83;86;40;42;38;43;41;39;62;66;64;64;60;;;0;0;0;0;0;0;0;0;0;0;0
Dembélé;Rare;Paris Saint-Germain;Ligue 1;France;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;85000;LW;200048;87;https://www.futwiz.com/en/fc26/player/dembélé/200048;88;Explosive;90;86;76;78;74;80;73;71;74;78;80;74;72;80;76;74;90;92;94;85;92;91;87;36;38;34;39;37;35;58;62;60;60;56;;;0;0;0;0;0;0;0;0;0;0;0
Rodrygo;Rare;Real Madrid;LaLiga;Brazil;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;68000;LW;200049;86;https://www.futwiz.com/en/fc26/player/rodrygo/200049;84;Explosive;86;82;76;78;74;80;73;71;74;76;78;72;70;78;74;72;86;88;90;84;88;87;86;40;42;38;43;41;39;60;64;62;62;58;;;0;0;0;0;0;0;0;0;0;0;0
Griezmann;Rare;Atlético Madrid;LaLiga;France;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;48000;CF;200050;85;https://www.futwiz.com/en/fc26/player/griezmann/200050;72;Controlled;74;70;80;82;78;84;77;75;78;82;84;78;76;84;80;78;82;84;86;83;84;83;85;52;54;50;55;53;51;68;72;70;70;66;;;0;0;0;0;0;0;0;0;0;0;0
Diogo Jota;Rare;Liverpool;Premier League;Portugal;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;42000;CF;200051;84;https://www.futwiz.com/en/fc26/player/diogo-jota/200051;74;Controlled;76;72;82;84;80;86;79;77;80;68;70;64;62;70;66;64;78;80;82;82;80;79;84;44;46;42;47;45;43;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Haaland;Rare;Manchester City;Premier League;Norway;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;250000;ST;200052;91;https://www.futwiz.com/en/fc26/player/haaland/200052;88;Explosive;90;86;92;94;90;96;89;87;90;66;68;62;60;68;64;62;76;78;80;89;78;77;91;44;46;42;47;45;43;88;92;90;90;86;;;0;0;0;0;0;0;0;0;0;0;0
Kane;Rare;Bayern München;Bundesliga;England;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;120000;ST;200053;90;https://www.futwiz.com/en/fc26/player/kane/200053;70;Controlled;72;68;90;92;88;94;87;85;88;82;84;78;76;84;80;78;86;88;90;88;88;87;90;46;48;44;49;47;45;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
Lewandowski;Rare;FC Barcelona;LaLiga;Poland;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;62000;ST;200054;86;https://www.futwiz.com/en/fc26/player/lewandowski/200054;68;Controlled;70;66;86;88;84;90;83;81;84;76;78;72;70;78;74;72;82;84;86;84;84;83;86;44;46;42;47;45;43;78;82;80;80;76;;;0;0;0;0;0;0;0;0;0;0;0
Lautaro;Rare;Inter;Serie A;Argentina;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;72000;ST;200055;87;https://www.futwiz.com/en/fc26/player/lautaro/200055;78;Controlled;80;76;84;86;82;88;81;79;82;68;70;64;62;70;66;64;80;82;84;85;82;81;87;48;50;46;51;49;47;76;80;78;78;74;;;0;0;0;0;0;0;0;0;0;0;0
Julián Álvarez;Rare;Atlético Madrid;LaLiga;Argentina;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;65000;ST;200056;86;https://www.futwiz.com/en/fc26/player/julián-álvarez/200056;78;Controlled;80;76;82;84;80;86;79;77;80;66;68;62;60;68;64;62;82;84;86;84;84;83;86;44;46;42;47;45;43;74;78;76;76;72;;;0;0;0;0;0;0;0;0;0;0;0
Vlahović;Rare;Juventus;Serie A;Serbia;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;40000;ST;200057;84;https://www.futwiz.com/en/fc26/player/vlahović/200057;74;Controlled;76;72;82;84;80;86;79;77;80;58;60;54;52;60;56;54;78;80;82;82;80;79;84;40;42;38;43;41;39;76;80;78;78;74;;;0;0;0;0;0;0;0;0;0;0;0
Mbappé;Rare;Real Madrid;LaLiga;France;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;300000;ST;200058;91;https://www.futwiz.com/en/fc26/player/mbappé/200058;90;Explosive;92;88;88;90;86;92;85;83;86;80;82;76;74;82;78;76;88;90;92;89;90;89;91;38;40;36;41;39;37;72;76;74;74;70;;;0;0;0;0;0;0;0;0;0;0;0
Osimhen;Rare;Galatasaray;Süper Lig;Nigeria;;3;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;48000;ST;200059;85;https://www.futwiz.com/en/fc26/player/osimhen/200059;84;Explosive;86;82;82;84;80;86;79;77;80;54;56;50;48;56;52;50;74;76;78;83;76;75;85;38;40;36;41;39;37;80;84;82;82;78;;;0;0;0;0;0;0;0;0;0;0;0
Haaland;IF;Manchester City;Premier League;Norway;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;650000;ST;200060;93;https://www.futwiz.com/en/fc26/player/haaland/200060;90;Explosive;92;88;94;96;92;98;91;89;92;68;70;64;62;70;66;64;78;80;82;91;80;79;93;46;48;44;49;47;45;90;94;92;92;88;;;0;0;0;0;0;0;0;0;0;0;0
Mbappé;TOTW;Real Madrid;LaLiga;France;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;800000;ST;200061;94;https://www.futwiz.com/en/fc26/player/mbappé/200061;92;Explosive;94;90;90;92;88;94;87;85;88;82;84;78;76;84;80;78;90;92;94;92;92;91;94;40;42;38;43;41;39;74;78;76;76;72;;;0;0;0;0;0;0;0;0;0;0;0
Bellingham;TOTW;Real Madrid;LaLiga;England;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;350000;CM;200062;92;https://www.futwiz.com/en/fc26/player/bellingham/200062;80;Controlled;82;78;82;84;80;86;79;77;80;80;82;76;74;82;78;76;84;86;88;90;86;85;92;72;74;70;75;73;71;80;84;82;82;78;;;0;0;0;0;0;0;0;0;0;0;0
